timestamp_unix,timestamp_polar_ns,sample_index,x_mg,y_mg,z_mg,vm_mg
1778557771.106923,599616089757561132,324,-1015.0,10.0,-122.0,1022.35
1778557771.146924,599616089797561132,324,-1014.0,9.0,-118.0,1020.88
1778557771.186924,599616089837561132,324,-1010.0,2.0,-114.0,1016.42
1778557771.226923,599616089877561132,324,-1013.0,22.0,-118.0,1020.09
1778557771.266923,599616089917561132,324,-1013.0,18.0,-134.0,1021.98
1778557771.306923,599616089957561132,324,-1015.0,14.0,-121.0,1022.28
1778557771.346923,599616089997561132,324,-1024.0,11.0,-131.0,1032.4
1778557771.386924,599616090037561132,324,-1008.0,42.0,-141.0,1018.68
1778557771.426924,599616090077561132,324,-1014.0,-40.0,-100.0,1019.7
1778557771.466923,599616090117561132,324,-1009.0,33.0,-130.0,1017.88
1778557771.506923,599616090157561132,324,-1016.0,-25.0,-103.0,1021.51
1778557771.546923,599616090197561132,324,-1016.0,32.0,-137.0,1025.69
1778557771.586923,599616090237561132,324,-1011.0,5.0,-121.0,1018.23
1778557771.626924,599616090277561132,324,-1019.0,9.0,-129.0,1027.17
1778557771.666924,599616090317561132,324,-1015.0,9.0,-140.0,1024.65
1778557771.706923,599616090357561132,324,-1014.0,3.0,-135.0,1022.95
1778557771.746923,599616090397561132,324,-1018.0,2.0,-137.0,1027.18
1778557771.786923,599616090437561132,324,-999.0,14.0,-119.0,1006.16
1778557771.826923,599616090477561132,324,-1008.0,22.0,-131.0,1016.71
1778557771.866924,599616090517561132,324,-1013.0,47.0,-153.0,1025.57
1778557771.906924,599616090557561132,324,-1011.0,-25.0,-80.0,1014.47
1778557771.946923,599616090597561132,324,-1043.0,59.0,-151.0,1055.52
1778557771.986923,599616090637561132,324,-1012.0,15.0,-97.0,1016.75
1778557772.026923,599616090677561132,324,-1025.0,-22.0,-82.0,1028.51
1778557772.066923,599616090717561132,324,-969.0,17.0,-107.0,975.04
1778557772.106923,599616090757561132,324,-1046.0,21.0,-138.0,1055.27
1778557772.146924,599616090797561132,324,-1038.0,2.0,-112.0,1044.03
1778557772.186924,599616090837561132,324,-1017.0,16.0,-114.0,1023.49
1778557772.226923,599616090877561132,324,-1007.0,8.0,-122.0,1014.39
1778557772.266923,599616090917561132,324,-1011.0,12.0,-123.0,1018.53
1778557772.306923,599616090957561132,324,-1000.0,30.0,-106.0,1006.05
1778557772.346923,599616090997561132,324,-1014.0,20.0,-149.0,1025.08
1778557772.386924,599616091037561132,324,-1019.0,2.0,-106.0,1024.5
1778557772.427162,599616091057380562,360,-1019.0,-5.0,-102.0,1024.1
1778557772.467162,599616091097380562,360,-1016.0,-13.0,-114.0,1022.46
1778557772.507162,599616091137380562,360,-1009.0,0.0,-91.0,1013.1
1778557772.547162,599616091177380562,360,-1020.0,-3.0,-120.0,1027.04
1778557772.587162,599616091217380562,360,-1026.0,6.0,-133.0,1034.6
1778557772.627162,599616091257380562,360,-1009.0,4.0,-125.0,1016.72
1778557772.667162,599616091297380562,360,-1021.0,4.0,-136.0,1030.03
1778557772.707162,599616091337380562,360,-999.0,14.0,-128.0,1007.26
1778557772.747162,599616091377380562,360,-1003.0,14.0,-117.0,1009.9
1778557772.787162,599616091417380562,360,-1016.0,-6.0,-93.0,1020.27
1778557772.827162,599616091457380562,360,-1013.0,-45.0,-81.0,1017.23
1778557772.867162,599616091497380562,360,-1019.0,24.0,-89.0,1023.16
1778557772.907162,599616091537380562,360,-1016.0,70.0,-70.0,1020.81
