timestamp_unix,timestamp_polar_ns,sample_index,ecg_uv
1778560331.932259,599616645445571648,77745,-140
1778560331.939951,599616645453263955,77745,-140
1778560331.947644,599616645460956262,77745,-138
1778560331.955336,599616645468648569,77745,-135
1778560331.963028,599616645476340876,77745,-138
1778560331.970720,599616645484033183,77745,-140
1778560331.978413,599616645491725490,77745,-135
1778560331.986105,599616645499417797,77745,-138
1778560331.993797,599616645507110104,77745,-145
1778560332.001490,599616645514802411,77745,-140
1778560332.009182,599616645522494718,77745,-133
1778560332.016874,599616645530187025,77745,-138
1778560332.024566,599616645537879332,77745,-123
1778560332.032259,599616645545571639,77745,-94
1778560332.039951,599616645553263946,77745,-92
1778560332.047643,599616645560956253,77745,-101
1778560332.055336,599616645568648560,77745,-97
1778560332.063028,599616645576340867,77745,-104
1778560332.070720,599616645584033174,77745,-130
1778560332.078413,599616645591725481,77745,-140
1778560332.086105,599616645599417788,77745,-130
1778560332.093797,599616645607110095,77745,-133
1778560332.101490,599616645614802402,77745,-147
1778560332.109182,599616645622494709,77745,-140
1778560332.116874,599616645630187016,77745,-126
1778560332.149835,599616645637617798,77818,-123
1778560332.157527,599616645645310105,77818,-94
1778560332.165220,599616645653002412,77818,-12
1778560332.172912,599616645660694719,77818,123
1778560332.180604,599616645668387026,77818,460
1778560332.188296,599616645676079333,77818,882
1778560332.195989,599616645683771640,77818,482
1778560332.203681,599616645691463947,77818,-582
1778560332.211373,599616645699156254,77818,-674
1778560332.219066,599616645706848561,77818,-36
1778560332.226758,599616645714540868,77818,-50
1778560332.234450,599616645722233175,77818,-264
1778560332.242142,599616645729925482,77818,-133
1778560332.249835,599616645737617789,77818,-101
1778560332.257527,599616645745310096,77818,-174
1778560332.265219,599616645753002403,77818,-126
1778560332.272912,599616645760694710,77818,-97
1778560332.280604,599616645768387017,77818,-130
1778560332.288296,599616645776079324,77818,-116
1778560332.295989,599616645783771631,77818,-89
1778560332.303681,599616645791463938,77818,-94
1778560332.311373,599616645799156245,77818,-89
1778560332.319066,599616645806848552,77818,-77
1778560332.326758,599616645814540859,77818,-72
1778560332.334450,599616645822233166,77818,-65
1778560332.342143,599616645829925473,77818,-53
1778560332.349835,599616645837617780,77818,-43
1778560332.357527,599616645845310087,77818,-38
1778560332.365219,599616645853002394,77818,-26
1778560332.372912,599616645860694701,77818,-12
1778560332.380604,599616645868387008,77818,2
1778560332.388296,599616645876079315,77818,16
1778560332.395989,599616645883771622,77818,36
1778560332.403681,599616645891463929,77818,58
1778560332.411373,599616645899156236,77818,87
1778560332.419066,599616645906848543,77818,116
1778560332.426758,599616645914540850,77818,145
1778560332.434450,599616645922233157,77818,186
1778560332.442142,599616645929925464,77818,223
1778560332.449835,599616645937617771,77818,247
1778560332.457527,599616645945310078,77818,274
1778560332.465219,599616645953002385,77818,293
1778560332.472912,599616645960694692,77818,293
1778560332.480604,599616645968386999,77818,271
1778560332.488296,599616645976079306,77818,225
1778560332.495989,599616645983771613,77818,152
1778560332.503681,599616645991463920,77818,50
1778560332.511373,599616645999156227,77818,-53
1778560332.519066,599616646006848534,77818,-147
1778560332.526758,599616646014540841,77818,-220
1778560332.534450,599616646022233148,77818,-269
1778560332.542143,599616646029925455,77818,-300
1778560332.549835,599616646037617762,77818,-322
1778560332.557527,599616646045310069,77818,-329
1778560332.565219,599616646053002376,77818,-315
1778560332.572912,599616646060694683,77818,-303
1778560332.580604,599616646068386990,77818,-307
1778560332.588296,599616646076079297,77818,-310
1778560332.595989,599616646083771604,77818,-303
1778560332.603681,599616646091463911,77818,-293
1778560332.611373,599616646099156218,77818,-286
1778560332.619066,599616646106848525,77818,-278
1778560332.626758,599616646114540832,77818,-269
1778560332.634450,599616646122233139,77818,-261
1778560332.642143,599616646129925446,77818,-254
1778560332.649835,599616646137617753,77818,-247
1778560332.657527,599616646145310060,77818,-237
1778560332.665220,599616646153002367,77818,-227
1778560332.672912,599616646160694674,77818,-223
1778560332.680604,599616646168386981,77818,-215
1778560332.688296,599616646176079288,77818,-198
1778560332.695989,599616646183771595,77818,-189
1778560332.703681,599616646191463902,77818,-191
1778560332.689272,599616646198874332,77891,-191
1778560332.696964,599616646206566639,77891,-181
1778560332.704656,599616646214258946,77891,-184
1778560332.712348,599616646221951253,77891,-186
1778560332.720041,599616646229643560,77891,-181
1778560332.727733,599616646237335867,77891,-181
1778560332.735425,599616646245028174,77891,-191
1778560332.743118,599616646252720481,77891,-181
1778560332.750810,599616646260412788,77891,-157
1778560332.758502,599616646268105095,77891,-167
1778560332.766195,599616646275797402,77891,-181
1778560332.773887,599616646283489709,77891,-172
1778560332.781579,599616646291182016,77891,-167
1778560332.789272,599616646298874323,77891,-172
1778560332.796964,599616646306566630,77891,-169
1778560332.804656,599616646314258937,77891,-169
1778560332.812349,599616646321951244,77891,-167
1778560332.820041,599616646329643551,77891,-167
1778560332.827733,599616646337335858,77891,-167
1778560332.835426,599616646345028165,77891,-164
1778560332.843118,599616646352720472,77891,-155
1778560332.850810,599616646360412779,77891,-143
1778560332.858502,599616646368105086,77891,-145
1778560332.866195,599616646375797393,77891,-155
1778560332.873887,599616646383489700,77891,-157
1778560332.881579,599616646391182007,77891,-150
1778560332.889272,599616646398874314,77891,-150
1778560332.896964,599616646406566621,77891,-152
1778560332.904656,599616646414258928,77891,-150
1778560332.912349,599616646421951235,77891,-150
1778560332.920041,599616646429643542,77891,-145
1778560332.927733,599616646437335849,77891,-145
1778560332.935426,599616646445028156,77891,-147
1778560332.943118,599616646452720463,77891,-147
1778560332.950810,599616646460412770,77891,-145
1778560332.958503,599616646468105077,77891,-143
1778560332.966195,599616646475797384,77891,-135
1778560332.973887,599616646483489691,77891,-138
1778560332.981579,599616646491181998,77891,-143
1778560332.989272,599616646498874305,77891,-140
1778560332.996964,599616646506566612,77891,-138
1778560333.004656,599616646514258919,77891,-140
1778560333.012349,599616646521951226,77891,-140
