timestamp_unix,timestamp_polar_ns,sample_index,x_mg,y_mg,z_mg,vm_mg
1778559739.418711,599616053745907350,144,-903.0,58.0,-478.0,1023.36
1778559739.458711,599616053785907350,144,-903.0,60.0,-479.0,1023.94
1778559739.498711,599616053825907350,144,-903.0,62.0,-483.0,1025.93
1778559739.538711,599616053865907350,144,-903.0,60.0,-476.0,1022.54
1778559739.578711,599616053905907350,144,-904.0,67.0,-491.0,1030.92
1778559739.618711,599616053945907350,144,-897.0,57.0,-461.0,1010.14
1778559739.658711,599616053985907350,144,-904.0,68.0,-488.0,1029.56
1778559739.698711,599616054025907350,144,-896.0,69.0,-488.0,1022.61
1778559739.738711,599616054065907350,144,-906.0,66.0,-484.0,1029.29
1778559739.778711,599616054105907350,144,-900.0,65.0,-478.0,1021.13
1778559739.818711,599616054145907350,144,-901.0,65.0,-480.0,1022.95
1778559739.813937,599616054165879384,180,-902.0,71.0,-478.0,1023.29
1778559739.853937,599616054205879384,180,-903.0,71.0,-480.0,1025.11
1778559739.893937,599616054245879384,180,-903.0,66.0,-481.0,1025.24
1778559739.933937,599616054285879384,180,-901.0,64.0,-477.0,1021.48
1778559739.973937,599616054325879384,180,-902.0,65.0,-479.0,1023.36
1778559740.013937,599616054365879384,180,-904.0,61.0,-478.0,1024.41
1778559740.053937,599616054405879384,180,-905.0,63.0,-479.0,1025.88
1778559740.093937,599616054445879384,180,-900.0,64.0,-483.0,1023.42
1778559740.133937,599616054485879384,180,-901.0,63.0,-485.0,1025.18
1778559740.173937,599616054525879384,180,-903.0,65.0,-487.0,1028.01
1778559740.213937,599616054565879384,180,-901.0,67.0,-485.0,1025.43
1778559740.253937,599616054605879384,180,-899.0,69.0,-483.0,1022.86
1778559740.293937,599616054645879384,180,-901.0,65.0,-486.0,1025.78
1778559740.333937,599616054685879384,180,-902.0,63.0,-486.0,1026.53
1778559740.373937,599616054725879384,180,-899.0,61.0,-485.0,1023.3
1778559740.413937,599616054765879384,180,-902.0,52.0,-485.0,1025.44
1778559740.453937,599616054805879384,180,-902.0,51.0,-484.0,1024.92
1778559740.493937,599616054845879384,180,-901.0,49.0,-482.0,1023.0
1778559740.533937,599616054885879384,180,-904.0,47.0,-485.0,1026.96
1778559740.573937,599616054925879384,180,-907.0,59.0,-473.0,1024.63
1778559740.613937,599616054965879384,180,-886.0,64.0,-487.0,1013.05
1778559740.653937,599616055005879384,180,-886.0,93.0,-496.0,1019.64
1778559740.693937,599616055045879384,180,-897.0,91.0,-491.0,1026.63
1778559740.733937,599616055085879384,180,-923.0,87.0,-449.0,1030.1
1778559740.773937,599616055125879384,180,-958.0,133.0,-451.0,1067.17
1778559740.813937,599616055165879384,180,-953.0,125.0,-441.0,1057.5
1778559740.853937,599616055205879384,180,-927.0,111.0,-449.0,1035.98
1778559740.893937,599616055245879384,180,-968.0,112.0,-427.0,1063.91
1778559740.933937,599616055285879384,180,-980.0,110.0,-402.0,1064.94
1778559740.973937,599616055325879384,180,-1007.0,112.0,-353.0,1072.94
1778559741.013937,599616055365879384,180,-1005.0,124.0,-334.0,1066.28
1778559741.053937,599616055405879384,180,-996.0,130.0,-284.0,1043.83
1778559741.093937,599616055445879384,180,-990.0,141.0,-231.0,1026.32
1778559741.133937,599616055485879384,180,-927.0,93.0,-204.0,953.73
1778559741.173937,599616055525879384,180,-940.0,101.0,-177.0,961.84
1778559741.213937,599616055565879384,180,-987.0,105.0,-134.0,1001.57
1778559741.253847,599616055585332610,216,-1000.0,52.0,-89.0,1005.3
1778559741.293848,599616055625332610,216,-1010.0,58.0,-57.0,1013.27
1778559741.333848,599616055665332610,216,-1006.0,20.0,7.0,1006.22
1778559741.373847,599616055705332610,216,-1070.0,-24.0,78.0,1073.11
1778559741.413847,599616055745332610,216,-1079.0,-156.0,138.0,1098.92
1778559741.453847,599616055785332610,216,-1079.0,-127.0,158.0,1097.88
